日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),ExitVelocity,PitchBallVelocity,LaunchAngle,ExitDirection,Spin,Distance,SpinDirection,SpinConfidence,StrikeZoneX,StrikeZoneY,Contact Depth,BatName,SerialNumber,Unique ID,Video Url,Session Name,Player Name,DateTime
2025年 2月 5日 水曜日 11:52:39,baseball bat,右,General Practice,48,65,58,106.1,13.1,64,7,90,80,-29,3.5,0.16,34.0,,,,151.4,75.6,3.2,8.1,1377.95922851563,41.5,00:06:00,1.0,9.9,68.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:52:02,baseball bat,右,General Practice,52,78,52,94.0,10.9,68,-3,95,89,-35,2.65,0.16,31.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:51:51,baseball bat,右,General Practice,47,61,68,108.5,16.7,62,7,102,90,-26,3.82,0.15,34.1,,,,140.6,75.6,10.2,0.3,1583.82958984375,57.9,02:02:00,1.0,17.7,59.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:51:40,baseball bat,右,General Practice,62,57,61,99.1,14.1,79,-5,86,76,-21,3.46,0.14,33.3,,,,144.1,75.6,7.6,-3.2,1095.04772949219,50.0,01:54:00,1.0,23.6,92.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:51:31,baseball bat,右,General Practice,57,69,59,108.6,13.3,73,5,91,83,-16,3.93,0.15,33.8,,,,130,77.4,10.9,-5.1,2447.96533203125,68.0,00:14:00,1.0,23.3,74.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:51:11,baseball bat,右,General Practice,54,64,63,104.1,15.0,71,5,89,80,-22,3.51,0.15,33.8,,,,147.6,75.6,5.5,-9.6,1036.44165039063,40.4,02:32:00,1.0,7.6,84.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:50:31,baseball bat,右,General Practice,52,62,59,105.1,13.4,68,9,97,83,-14,3.48,0.16,32.5,,,,126.5,75.6,26.1,-22.1,1435.8134765625,85.3,11:50:00,1.0,-2.8,48.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:50:22,baseball bat,右,General Practice,59,67,59,99.6,13.2,76,2,97,86,-12,3.35,0.15,31.9,,,,114.9,75.6,32.5,-5.5,1783.80810546875,79.5,00:14:00,1.0,22.1,81.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:50:13,baseball bat,右,General Practice,58,67,60,103.5,13.5,75,-5,86,83,-33,3.51,0.15,32.3,,,,143.7,77.8,4.8,-0.7,819.453796386719,36.9,01:54:00,1.0,19.7,73.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 11:49:55,baseball bat,右,General Practice,63,71,60,102.7,13.7,80,0,92,83,-16,3.6,0.14,33.5,,,,140.1,75.1,-5.1,-23.4,2624.69873046875,7.8,06:16:00,1.0,30.3,91.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:13:57,baseball bat,右,Pitching Machine,56,54,55,101.1,11.6,72,7,88,72,-19,3.18,0.16,28.5,,,,129.9,75.2,7.3,-35.0,9.99999974737875e-06,32.5,00:00:00,0.5,17.1,104.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:13:46,baseball bat,右,Pitching Machine,52,55,49,100.7,9.4,68,13,91,73,-17,3.04,0.16,27.7,,,,155.6,75.2,9.8,-26.5,9.99999974737875e-06,53.3,00:00:00,0.5,36.4,121.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:13:36,baseball bat,右,Pitching Machine,50,55,54,101.9,11.6,66,11,92,73,-15,3.28,0.16,27.4,,,,140.9,75.2,36.7,-28.0,3124.72094726563,101.3,00:08:00,1.0,-0.8,43.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:13:27,baseball bat,右,Pitching Machine,57,57,54,99.9,11.5,73,6,90,74,-19,3.19,0.15,28.0,,,,145.6,73.4,6.7,-4.4,1799.80139160156,57.7,00:44:00,1.0,9.7,83.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:13:15,baseball bat,右,Pitching Machine,39,52,42,93.0,7.1,54,7,104,82,-20,2.54,0.17,24.3,,,,115.8,73.4,27.5,-8.0,2591.92211914063,76.7,11:08:00,1.0,33.4,91.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:12:52,baseball bat,右,Pitching Machine,56,53,58,102.8,13.1,72,10,90,72,-24,3.43,0.15,28.5,,,,135.9,73.4,19.9,-11.0,1400.22448730469,90.9,00:40:00,1.0,13.5,87.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:12:42,baseball bat,右,Pitching Machine,58,54,52,100.3,10.9,74,5,88,72,-21,3.3,0.15,27.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:12:32,baseball bat,右,Pitching Machine,57,56,53,101.1,11.1,73,4,91,74,-21,3.36,0.15,27.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:12:22,baseball bat,右,Pitching Machine,48,50,50,100.6,9.8,63,13,87,69,-20,3.08,0.16,27.8,,,,92.4,72.8,38.4,-17.1,9.99999974737875e-06,56.5,00:00:00,0.5,20.9,80.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:12:10,baseball bat,右,Pitching Machine,41,52,46,89.8,8.6,57,11,88,71,-21,2.16,0.18,27.5,,,,149.5,73.4,14.6,-11.1,244.533111572266,74.9,11:42:00,1.0,13.7,79.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:11:56,baseball bat,右,Pitching Machine,54,55,53,101.2,11.2,70,8,89,73,-25,3.32,0.15,27.7,,,,144.8,73.4,3.6,-13.8,1222.22119140625,35.2,10:20:00,1.0,-3.5,64.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:11:46,baseball bat,右,Pitching Machine,42,52,47,96.2,8.8,57,17,91,70,-26,2.62,0.17,26.6,,,,137,71.3,15.7,-30.7,3134.916015625,83.4,00:02:00,1.0,26.4,133.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:11:34,baseball bat,右,Pitching Machine,41,55,41,95.6,6.5,56,11,93,73,-15,2.3,0.2,27.4,,,,139.4,73.4,2.9,-0.7,558.592834472656,27.6,09:48:00,1.0,12.2,110.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:11:15,baseball bat,右,Pitching Machine,49,55,49,97.4,9.6,65,5,88,73,-31,2.68,0.17,29.8,,,,143.8,73.4,30.6,-34.3,9.99999974737875e-06,94.1,00:00:00,0.5,-22.2,57.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:11:06,baseball bat,右,Pitching Machine,46,52,53,99.8,11.2,62,11,93,71,-16,2.95,0.17,28.2,,,,143.7,72.4,6.2,-13.2,2670.60913085938,49.3,02:16:00,1.0,-6.5,54.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:48,baseball bat,右,Pitching Machine,40,47,53,100.7,11.1,55,15,97,69,-9,2.81,0.18,26.2,,,,151.1,71.6,-5.1,-33.0,9.99999974737875e-06,8.2,00:00:00,0.5,-42.0,94.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:39,baseball bat,右,Pitching Machine,54,49,53,97.4,11.2,70,11,85,70,-26,2.78,0.17,28.3,,,,140.5,73.4,14.4,-8.2,1247.1708984375,65.4,02:46:00,1.0,3.9,86.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:31,baseball bat,右,Pitching Machine,51,56,47,93.0,8.6,67,-1,96,78,-29,2.5,0.17,25.3,,,,142.4,73.0,20.3,-12.3,1972.04125976563,93.5,11:00:00,1.0,-6.2,67.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:22,baseball bat,右,Pitching Machine,48,53,56,101.7,12.3,64,12,95,74,-18,3.22,0.16,27.7,,,,130.6,71.3,36.2,-17.2,814.517456054688,94.8,00:34:00,1.0,-4.0,80.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:13,baseball bat,右,Pitching Machine,44,53,31,75.6,2.9,59,6,108,94,-16,1.48,0.19,20.6,,,,134,71.3,18.3,-6.4,1776.04028320313,82.2,01:10:00,1.0,8.4,88.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:10:04,baseball bat,右,Pitching Machine,52,56,47,97.7,9.0,68,6,89,74,-24,2.8,0.17,29.1,,,,192.8,73.4,23.7,-43.2,1336.951171875,131.0,10:54:00,1.0,-26.5,25.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:09:55,baseball bat,右,Pitching Machine,47,55,54,99.0,11.5,62,14,91,73,-19,2.87,0.17,27.4,,,,136,73.4,5.2,-2.1,474.156158447266,33.4,02:34:00,1.0,-17.6,69.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:09:46,baseball bat,右,Pitching Machine,55,58,56,96.7,12.1,72,5,91,76,-25,2.91,0.16,27.4,,,,148.5,73.4,-6.6,-9.7,1272.69555664063,7.7,07:16:00,1.0,12.0,107.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:09:37,baseball bat,右,Pitching Machine,52,60,51,99.9,10.3,68,7,91,77,-20,3.07,0.16,28.6,,,,119.6,71.3,11.5,-34.3,2700.43505859375,60.7,01:20:00,1.0,-13.2,52.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:09:19,baseball bat,右,Pitching Machine,45,57,55,99.8,12.0,61,12,93,75,-15,2.99,0.16,27.0,,,,142.3,71.3,17.5,-16.6,9.99999974737875e-06,77.7,00:00:00,0.5,-10.9,66.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:08:34,baseball bat,右,Pitching Machine,51,58,53,99.3,11.0,67,15,91,76,-21,2.89,0.17,27.8,,,,133,71.3,32.5,-20.6,9.99999974737875e-06,90.7,00:00:00,0.5,-4.4,70.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:08:25,baseball bat,右,Pitching Machine,55,63,51,99.6,10.2,71,10,92,79,-32,3.01,0.16,29.6,,,,128.2,72.2,40.3,-28.5,9.99999974737875e-06,88.3,00:00:00,0.5,34.5,103.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:08:16,baseball bat,右,Pitching Machine,54,57,52,98.8,10.8,70,12,85,78,-32,2.9,0.17,29.9,,,,128.2,73.4,27.4,-22.8,2294.16430664063,78.0,10:00:00,1.0,6.8,56.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:07:48,baseball bat,左,Pitching Machine,62,68,55,96.7,11.9,79,7,87,83,-46,3.11,0.15,29.3,,,,137.8,73.4,4.8,-0.7,1079.9140625,34.6,10:04:00,1.0,0.0,77.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:07:37,baseball bat,左,Pitching Machine,55,58,55,92.2,11.9,71,20,87,76,-40,2.59,0.16,27.4,,,,106.5,72.4,28.6,-34.6,2137.326171875,65.8,01:12:00,1.0,-19.7,58.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:07:29,baseball bat,左,Pitching Machine,60,80,54,94.0,11.5,77,0,88,86,-52,2.9,0.15,29.5,,,,133.3,72.4,7.5,13.1,1306.20520019531,45.4,01:14:00,1.0,1.0,86.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:07:20,baseball bat,左,Pitching Machine,56,73,54,88.8,11.3,72,11,92,84,-39,2.46,0.16,27.5,,,,127.4,71.3,16.7,17.5,618.724182128906,61.0,01:48:00,1.0,4.6,73.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:06:59,baseball bat,左,Pitching Machine,64,80,56,82.9,12.3,80,2,93,89,-47,2.26,0.15,26.6,,,,142.6,73.4,29.4,-15.3,2383.06787109375,98.1,10:48:00,1.0,-5.0,45.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:06:48,baseball bat,左,Pitching Machine,49,71,50,86.4,9.9,65,23,92,83,-42,2.19,0.17,26.4,,,,134.7,73.4,6.4,3.3,678.466430664063,35.9,00:48:00,1.0,8.3,74.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:06:39,baseball bat,左,Pitching Machine,52,68,41,59.4,6.4,68,0,84,86,-53,0.89,0.19,19.3,,,,129.6,71.3,15.1,-18.1,1120.49877929688,61.8,01:24:00,1.0,17.3,80.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:05:59,baseball bat,左,Pitching Machine,59,76,56,94.3,12.3,76,9,95,89,-40,2.92,0.15,28.0,,,,125.4,73.4,4.1,-18.7,2642.85717773438,33.7,00:58:00,1.0,9.9,77.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:05:29,baseball bat,左,Pitching Machine,45,60,53,87.1,11.1,60,23,93,78,-36,2.17,0.17,28.0,,,,123,71.3,26.1,-19.5,2536.89501953125,75.2,10:38:00,1.0,-1.8,79.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:05:20,baseball bat,左,Pitching Machine,55,71,55,92.4,11.9,71,15,94,85,-42,2.66,0.16,27.8,,,,146.9,72.1,30.0,-26.6,3071.6240234375,107.8,00:50:00,1.0,-57.5,26.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:04:03,baseball bat,左,Pitching Machine,61,70,54,95.1,11.6,77,1,90,83,-37,2.93,0.15,28.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:03:46,baseball bat,左,Pitching Machine,59,70,51,90.4,10.4,76,3,91,83,-35,2.55,0.16,27.7,,,,136.2,72.1,11.4,4.8,3423.5703125,72.4,11:34:00,1.0,11.3,75.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:03:37,baseball bat,左,Pitching Machine,58,67,53,95.8,11.0,74,9,96,85,-32,2.86,0.16,27.8,,,,129.5,72.1,11.9,-9.6,969.904418945313,52.5,10:00:00,1.0,22.5,70.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:03:19,baseball bat,左,Pitching Machine,62,68,51,90.6,10.4,78,3,87,82,-37,2.59,0.16,27.7,,,,129,71.3,19.0,-13.9,1773.61657714844,69.0,10:08:00,1.0,11.9,86.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:03:10,baseball bat,左,Pitching Machine,60,79,53,90.6,11.1,77,2,92,86,-35,2.59,0.16,27.4,,,,138.2,98.0,5.5,0.6,2897.70874023438,52.7,10:48:00,1.0,3.8,97.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:02:43,baseball bat,左,Pitching Machine,50,78,47,82.9,8.7,66,1,92,85,-37,2.01,0.17,26.1,,,,121.7,69.1,8.3,-17.9,1211.97778320313,38.8,10:30:00,1.0,2.7,85.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:02:16,baseball bat,左,Pitching Machine,52,43,52,94.8,10.6,68,17,103,69,-11,2.73,0.16,25.4,,,,130.1,69.1,10.2,-6.0,947.518859863281,55.1,11:24:00,1.0,11.3,79.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:01:58,baseball bat,左,Pitching Machine,49,45,50,90.3,10.0,64,12,91,62,-16,2.39,0.17,22.9,,,,98.4,69.1,23.6,-42.7,1732.7392578125,53.8,11:50:00,1.0,5.7,94.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:01:40,baseball bat,左,Pitching Machine,55,44,51,95.1,10.2,71,12,99,67,-18,2.65,0.17,24.1,,,,136,71.3,9.6,-0.4,713.470458984375,45.4,09:00:00,1.0,-3.2,84.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:01:31,baseball bat,左,Pitching Machine,60,45,47,86.6,8.8,77,-1,107,76,-26,2.33,0.16,26.1,,,,113.9,70.7,25.5,-25.8,2947.0439453125,66.0,10:48:00,1.0,-1.9,47.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:01:04,baseball bat,左,Pitching Machine,46,70,41,76.9,6.7,62,3,95,85,-25,1.55,0.19,25.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:00:46,baseball bat,左,Pitching Machine,50,73,53,90.1,11.0,66,5,96,88,-34,2.44,0.16,28.8,,,,97.1,70.5,19.1,26.9,9.99999974737875e-06,41.1,00:00:00,0.5,56.8,88.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:00:37,baseball bat,左,Pitching Machine,54,68,49,89.5,9.4,70,6,96,86,-28,2.34,0.17,27.0,,,,133.3,67.0,9.1,-14.0,2248.82299804688,40.3,09:08:00,1.0,-6.6,63.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 09:00:29,baseball bat,左,Pitching Machine,52,69,49,85.9,9.6,68,-2,92,83,-31,2.21,0.16,26.1,,,,130.9,67.0,16.5,6.5,924.454223632813,72.0,10:52:00,1.0,5.6,72.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:58:50,baseball bat,左,Pitching Machine,58,66,59,102.8,13.4,74,8,90,81,-20,3.66,0.14,32.8,,,,122.4,67.0,26.9,-4.9,635.476196289063,78.2,01:52:00,1.0,7.1,85.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:58:23,baseball bat,左,Pitching Machine,50,60,50,103.3,9.8,65,12,90,77,-25,3.6,0.15,32.8,,,,136.1,67.0,8.6,27.3,1328.18481445313,43.4,02:02:00,1.0,18.1,96.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:58:10,baseball bat,左,Pitching Machine,54,61,53,84.2,11.0,71,-4,97,82,-16,2.56,0.14,29.3,,,,136.1,69.1,-4.3,17.0,1578.91967773438,9.2,04:54:00,1.0,22.7,88.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:57:55,baseball bat,左,Pitching Machine,60,60,56,106.9,12.3,76,8,91,77,-25,3.75,0.15,33.0,,,,134.1,69.1,16.0,8.7,816.073486328125,71.6,11:52:00,1.0,10.8,94.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:57:32,baseball bat,左,Pitching Machine,59,62,49,106.4,9.7,76,4,92,78,-25,3.62,0.15,33.0,,,,125.3,71.3,31.5,18.3,2700.5986328125,73.8,02:40:00,1.0,16.7,49.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:57:20,baseball bat,左,Pitching Machine,58,62,54,96.1,11.6,74,3,88,79,-29,3.29,0.14,30.7,,,,121,71.3,26.6,10.6,505.541137695313,74.0,00:30:00,1.0,-17.2,43.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:57:08,baseball bat,左,Pitching Machine,48,66,56,102.2,12.2,63,3,95,83,-26,3.78,0.14,32.8,,,,130.9,71.3,13.9,7.3,968.410583496094,62.5,09:56:00,1.0,-9.8,58.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:56:43,baseball bat,左,Pitching Machine,58,57,54,101.7,11.4,75,8,85,77,-21,3.11,0.16,30.4,,,,129.9,71.3,13.0,4.8,1111.53479003906,59.2,09:50:00,1.0,-1.4,84.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:56:31,baseball bat,左,Pitching Machine,52,61,51,100.7,10.3,68,8,97,82,-20,3.47,0.14,30.6,,,,122.6,69.1,24.6,-5.2,2361.3076171875,78.3,01:50:00,1.0,0.4,70.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:55:55,baseball bat,左,Pitching Machine,48,62,55,103.6,11.8,64,8,99,85,-25,3.83,0.14,31.7,,,,137.3,67.0,4.3,3.2,708.487548828125,34.5,10:26:00,1.0,3.7,87.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:55:43,baseball bat,左,Pitching Machine,62,68,59,110.1,13.2,79,5,92,82,-27,4.08,0.15,33.6,,,,134.1,67.0,15.7,16.3,2501.60888671875,66.9,09:20:00,1.0,0.4,109.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:55:32,baseball bat,左,Pitching Machine,60,68,60,109.1,13.7,76,9,93,82,-18,4.07,0.14,33.2,,,,132,69.1,25.4,4.5,1710.81677246094,91.1,10:50:00,1.0,3.1,78.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:55:08,baseball bat,左,Pitching Machine,58,53,53,104.3,11.2,75,12,86,73,-23,3.31,0.16,32.2,,,,132.2,69.1,6.7,16.7,2803.72094726563,36.1,01:12:00,1.0,17.2,55.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:54:57,baseball bat,左,Pitching Machine,62,66,50,101.9,9.8,78,3,95,83,-22,3.36,0.15,31.9,,,,124.3,67.0,8.1,-4.1,835.298522949219,41.8,10:04:00,1.0,5.5,117.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:54:45,baseball bat,左,Pitching Machine,62,67,55,119.7,11.9,79,2,87,82,-19,4.7,0.15,31.9,,,,131.4,67.0,15.4,5.2,734.307373046875,65.0,10:02:00,1.0,9.2,121.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:54:34,baseball bat,左,Pitching Machine,62,61,61,102.4,14.0,79,10,86,80,-21,3.39,0.15,32.5,,,,110.1,65.9,12.7,8.1,980.686767578125,46.0,10:50:00,1.0,0.3,74.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:54:22,baseball bat,左,Pitching Machine,61,68,57,108.6,12.5,77,11,91,82,-19,3.77,0.15,32.2,,,,120,65.9,8.6,3.8,1098.50402832031,47.5,11:34:00,1.0,-10.9,66.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:53:46,baseball bat,左,Pitching Machine,60,46,57,99.6,12.5,77,4,77,74,-20,3.02,0.16,33.3,,,,118.7,62.6,23.5,40.0,695.897338867188,65.8,01:20:00,1.0,41.5,81.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:53:37,baseball bat,左,Pitching Machine,72,49,56,82.7,12.1,89,0,79,75,-15,2.34,0.14,27.8,,,,152.4,68.4,-6.0,-13.6,1972.62158203125,8.8,04:44:00,1.0,-19.1,114.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:53:10,baseball bat,左,Pitching Machine,65,57,55,99.9,11.9,82,3,83,80,-16,3.32,0.15,30.6,,,,128.9,69.9,16.3,-11.2,1590.78759765625,73.4,00:02:00,1.0,-8.1,67.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:53:01,baseball bat,左,Pitching Machine,55,66,54,96.9,11.5,71,3,90,81,-16,3.13,0.15,30.4,,,,153.8,69.9,-1.0,-11.0,605.713562011719,14.8,07:08:00,1.0,-6.1,85.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:52:52,baseball bat,左,Pitching Machine,62,59,54,100.3,11.5,79,4,86,78,-16,3.22,0.15,30.9,,,,132.8,69.9,6.2,-19.3,543.173034667969,33.2,11:46:00,1.0,-143.0,-19.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:52:43,baseball bat,左,Pitching Machine,55,64,53,95.9,11.1,71,5,97,85,-9,2.94,0.15,30.1,,,,152.9,69.9,7.4,-9.4,2024.65759277344,72.3,11:52:00,1.0,3.2,95.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:52:34,baseball bat,左,Pitching Machine,65,57,49,95.0,9.5,82,0,87,76,-16,3.04,0.15,29.0,,,,144.9,69.1,25.1,-7.2,2684.40307617188,103.6,00:58:00,1.0,-5.3,74.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 5日 水曜日 08:52:16,baseball bat,左,Pitching Machine,52,68,49,98.2,9.5,68,7,95,85,-15,3.21,0.15,29.9,,,,150.1,68.9,3.5,-6.4,505.116912841797,33.8,01:34:00,1.0,3.8,97.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
