time_col,打席,ストライク,球速,球種,SB,コース,ポイント,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°),体とバットの角度（構え） (°),体とバットの角度（インパクト） (°),バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),試合区別,StrikeZoneX,StrikeZoneY,DateTime,Player Name,進塁打
ソフトバンク,2,1,139,ストレート,8H,外低め,前,Live Pitch,43,60,80,115.1,30.6,58,14,95,80,-31,4.58,0.14,38.6,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#7 西村 友哉,
ソフトバンク,3,0,147,ストレート,ファウル,外低め,やや前,Live Pitch,47,42,80,104.3,26.1,62,3,79,65,-26,4.12,0.13,34.9,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#7 西村 友哉,
ソフトバンク,1,0,135,カットボール,ファウル,真ん中,ジャスト,Live Pitch,64,53,57,108.0,12.4,80,10,104,82,-35,4.15,0.14,38.1,,,,その他,0.0,77.5,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,1,2,136,カットボール,ファウル,外真ん中,やや前,Live Pitch,65,72,55,98.3,11.6,82,2,95,87,-43,3.01,0.16,36.4,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,1,2,144,ストレート,ファウル,外低め,やや後ろ,Live Pitch,65,51,66,102.5,16.0,82,-14,104,80,-28,4.32,0.12,37.2,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,1,2,142,ストレート,8H,真ん中,ジャスト,Live Pitch,55,48,69,106.5,17.3,71,4,114,93,-33,4.11,0.14,38.1,,,,その他,0.0,77.5,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,2,1,141,ストレート,ファうる,外真ん中,ジャスト,Live Pitch,57,80,58,107.2,12.9,73,5,94,89,-47,3.87,0.15,38.1,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,2,2,136,カットボール,6ゴロ,外低め,前,Live Pitch,69,66,44,88.0,7.8,86,-11,90,81,-40,2.17,0.18,32.7,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,3,1,146,ストレート,ファウル,真ん中高め,ジャスト,Live Pitch,55,62,59,105.6,13.4,71,9,94,80,-26,3.71,0.15,35.1,,,,その他,0.0,99.1,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,4,2,140,ストレート,ファウル,外低め,ジャスト,Live Pitch,59,63,64,110.6,15.1,76,3,101,88,-39,4.23,0.14,36.4,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,4,2,138,ストレート,4フライ,真ん中高め,やや後ろ,Live Pitch,47,45,49,104.8,9.7,63,11,118,92,-24,3.71,0.15,35.4,,,,その他,0.0,99.1,2026-03-07 ソフトバンク,#9 今泉 颯太,
ソフトバンク,1,2,135,カットボール,ファうる,外低め,,Live Pitch,51,68,44,118.8,7.6,67,14,95,84,-39,4.24,0.16,37,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#23 箱山 遥人,やや後ろ
ソフトバンク,2,0,130,スライダー,4フライ,外真ん中,,Live Pitch,56,63,47,110.4,9.0,73,13,99,86,-27,3.65,0.16,36,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#23 箱山 遥人,やや前
ソフトバンク,1,0,140,ストレート,8H,真ん中低め,ジャスト,Live Pitch,60,50,75,97.7,19.5,77,8,105,100,-25,3.61,0.13,33.5,,,,その他,0,55.8,2026-03-07 ソフトバンク,#26 西村 彰浩,
ソフトバンク,1,1,144,ストレート,ファウル,外真ん中,やや前,Live Pitch,53,77,58,97.7,13.1,69,7,85,91,-27,2.97,0.16,32.5,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#27 小畑 尋規,
ソフトバンク,1,2,140,ストレート,ファウル,内高め,やや前,Live Pitch,32,55,52,102.7,10.6,47,18,107,91,-25,3.41,0.15,31.5,,,,その他,-19.2,99.1,2026-03-07 ソフトバンク,#27 小畑 尋規,
ソフトバンク,1,2,143,ストレート,ファウル,外低め,前,Live Pitch,63,47,60,102.2,13.7,80,5,71,81,-37,3.48,0.15,34.8,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#27 小畑 尋規,
ソフトバンク,1,2,143,ストレート,ファウル,外低め,前,Live Pitch,68,62,59,102.2,13.4,85,10,83,83,-31,3.25,0.16,34.6,,,,その他,19.2,55.8,2026-03-07 ソフトバンク,#27 小畑 尋規,
ソフトバンク,1,2,142,ストレート,8フライ,真ん中高め,ジャスト,Live Pitch,53,74,60,109.6,13.7,69,12,91,85,-24,4.11,0.14,33.5,,,,その他,0.0,99.1,2026-03-07 ソフトバンク,#27 小畑 尋規,
ソフトバンク,1,1,143,ストレート,ファウル,真ん中,やや前,Live Pitch,65,70,79,94.1,20.9,82,-2,97,90,-37,3.57,0.12,37.7,,,,その他,0,77.5,2026-03-07 ソフトバンク,#29 徳本 健太朗,
ソフトバンク,1,2,135,フォーク,ファウル,真ん中低め,やや後ろ,Live Pitch,66,80,66,91.9,15.9,83,4,93,87,-36,3.4,0.12,35.1,,,,その他,0,55.8,2026-03-07 ソフトバンク,#29 徳本 健太朗,
ソフトバンク,1,0,136,ストレート,ファウル,外真ん中,ジャスト,Live Pitch,53,61,73,106.2,18.5,69,11,99,84,-11,4.02,0.14,35.9,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#39 柳 元珍,
ソフトバンク,1,1,137,ストレート,ファウル,外真ん中,ジャスト,Live Pitch,59,56,75,108.5,19.3,75,6,102,83,-14,4.52,0.13,35.9,,,,その他,19.2,77.5,2026-03-07 ソフトバンク,#39 柳 元珍,
天理大,1,0,139,ストレート,7フライ,外高め,ジャスト,Live Pitch,51,67,75,112.3,19.2,67,-4,92,82,-36,4.37,0.14,37.3,,,,オープン戦,19.2,99.1,2026-03-12 天理大,#2 逢澤 崚介,
天理大,1,0,135,カットボール,9フライ,真ん中低め,前,Live Pitch,56,31,80,123.9,28.9,72,17,64,62,-27,5.55,0.14,39.4,,,,オープン戦,0,55.8,2026-03-12 天理大,#3 三塚 武蔵,
天理大,3,1,141,ストレート,7H,真ん中,やや後ろ,Live Pitch,69,50,80,110.6,26.3,86,-5,84,71,-24,5.67,0.11,36.9,,,,オープン戦,0,77.5,2026-03-12 天理大,#3 三塚 武蔵,
天理大,4,1,139,ストレート,ファウル,真ん中高め,やや後ろ,Live Pitch,60,47,80,115.9,25.7,77,2,81,71,-25,6.13,0.11,37.2,,,,オープン戦,0,99.1,2026-03-12 天理大,#3 三塚 武蔵,
天理大,2,1,131,カットボール,7二塁打,内低め,前,Live Pitch,49,54,52,109.1,10.9,65,13,103,83,-24,3.53,0.17,32.5,,,,オープン戦,-19.2,55.8,2026-03-12 天理大,#4 北村 祥治,
天理大,3,2,126,スライダー,ファウル,真ん中低め,やや前,Live Pitch,53,47,66,103.0,16.1,69,17,80,72,-37,3.18,0.16,34.4,,,,オープン戦,0.0,55.8,2026-03-12 天理大,#4 北村 祥治,
天理大,4,0,134,ストレート,7H,外真ん中,前,Live Pitch,57,60,64,110.2,15.0,73,15,92,77,-23,3.84,0.16,33.0,,,,オープン戦,19.2,77.5,2026-03-12 天理大,#4 北村 祥治,
